"EDITORA MONOLITOLISTA DE LIVROSFesta Vírtual do Livro da USP2021TítuloAutorcapaPreço com desconto",,,
LIVRO ADOLF FRANZ HEEP: UM ARQUITETO MONDERNO,Marcelo Barbosa,"R$    175,00","R$                          87,50"
LIVRO ARQUITETURA BRASILEIRA - ASBEA 40 ANOS,Fernando Serapião,"R$    165,00","R$                          60,00"
LIVRO CENTRO CULTURAL DE SAO PAULO,Fernando Serapião,"R$    106,00","R$                          53,00"
LIVRO HUMBERTO SERPA - ARQUITETURA,Nara Grossi,"R$    109,00","R$                          45,00"
MONOLITO - ED 03 - BISELLI E KATCHBORIAN,Fernando Serapião,"R$      87,00","R$                          40,00"
MONOLITO - ED 08 - INSTITUTO MOREIRA SALLES,Fernando Serapião,"R$      92,50","R$                          46,25"
MONOLITO - ED 09  - MAURO MUNHOZ,Fernando Serapião,"R$      92,50","R$                          40,00"
MONOLITO - ED 10  - REINACH MENDONCA,Fernando Serapião,"R$      92,50","R$                          40,00"
MONOLITO - ED 11  - JOVENS ARQUITETOS,Fernando Serapião,"R$      92,50","R$                          46,25"
MONOLITO - ED 12 -  GUSTAVO PENA,Fernando Serapião,"R$      92,50","R$                          40,00"
MONOLITO - ED 13  - BERNARDES + JACOBSEN,Fernando Serapião,"R$      92,50","R$                          40,00"
MONOLITO - ED 14  - CASA DO ARQUITETO,Fernando Serapião,"R$      92,50","R$                          46,25"
MONOLITO - ED 15  - ESPACOS DE TRABALHO,Fernando Serapião,"R$      92,50","R$                          45,00"
MONOLITO - ED 16  - HECTOR VIGLIECA,Fernando Serapião,"R$      92,50","R$                          46,25"
MONOLITO - ED 17  - X BIENAL DE ARQUITETURA,Guilherme Wisnik,"R$      92,50","R$                          40,00"
MONOLITO - ED 18  - ANUARIO 2013,Fernando Serapião,"R$      92,50","R$                          40,00"
MONOLITO - ED 22 -  FRANCISCO SPADONI,Fernando Serapião,"R$      98,00","R$                          40,00"
MONOLITO - ED 23  - ARQ. FUTURO - A CIDADE E A AGU,Laura Greenhalgh,"R$      98,00","R$                          49,00"
MONOLITO - ED 24  - ANUARIO 2014,Fernando Serapião,"R$      98,00","R$                          35,00"
MONOLITO - ED 25 -  LOEB CAPOTE,Fernando Serapião,"R$      98,00","R$                          49,00"
MONOLITO - ED 27  - VILANOVA ARTIGAS E A FAU/USP,Fernando Serapião,"R$      98,00","R$                          49,00"
MONOLITO - ED 28  - TRIPTYQUE,Fernando Serapião,"R$      98,00","R$                          49,00"
MONOLITO - ED 29  - GUI MATTOS,Fernando Serapião,"R$      98,00","R$                          45,00"
MONOLITO - ED 30  - ANUARIO 2015,Fernando Serapião,"R$      98,00","R$                          35,00"
MONOLITO - ED 31  - ESCOLA CARIOCA,Fernando Serapião,"R$    106,00","R$                          53,00"
MONOLITO - ED 32  - REINVENTER PARIS,Fernando Serapião,"R$    106,00","R$                          45,00"
MONOLITO - ED 33  - SESC,Fernando Serapião,"R$    106,00","R$                          45,00"
MONOLITO - ED 34  - HUMBERTO SERPA,Nara Grossi,"R$    106,00","R$                          35,00"
MONOLITO - ED 35  - ANUARIO 2016,Fernando Serapião,"R$    106,00","R$                          35,00"
MONOLITO - ED 36 - MULHERES ARQUITETAS,Catherine Otondo,"R$    106,00","R$                          50,00"
MONOLITO - ED 37  - BURLE MARX,Fernando Serapião,"R$    106,00","R$                          53,00"
MONOLITO - ED 38  - BACCO ARQUITETOS,Fernando Serapião,"R$    106,00","R$                          45,00"
MONOLITO - ED 41/42  - MARCIO KOGAN,Fernando Serapião,"R$    231,00","R$                        115,50"
MONOLITO - ED 43 - SUPERLIMAO,Fernando Serapião,"R$    115,50","R$                          45,00"
MONOLITO EXTRA - AFLALO & GASPERINI,Fernando Serapião,"R$      98,00","R$                          40,00"
MONOLITO EXTRA - SKR - 30 ANOS,Fernando Serapião,"R$      98,00","R$                          40,00"
