FEIRA DO LIVRO USP 2022,
CATÁLOGO PULO DO GATO,
"",PREÇO COM
PREÇO DE,
TÍTULO,DESCONTO
CAPA,
"",(50%)
"ABOBORELA 55,00","27,50"
"ADELIA 50,50","25,25"
"ALEM DA MONTANHA 52,00","26,00"
"ALGUEM PARA JOGAR COM BORIS 46,00","23,00"
"AO REVES DO AVESSO 41,00","20,50"
"APRENDIZ DA IMPERFEICAO 49,50","24,75"
"BOLA VERMELHA 46,00","23,00"
"BRANCA DE NEVE 45,00","22,50"
"CADE O PINTINHO 40,50","20,25"
"CASA DO CUCO 51,00","25,50"
"CEU MENINO 45,00","22,50"
COMO ENSINAR SEUS PAIS A GOSTAREM DE,
"46,50","23,25"
LIVROS PARA CRIANCAS,
"COMO SE FIZESSE UM CAVALO 36,00","18,00"
"CORTE E A CHAMA, O 49,00","24,50"
"CRUZADA DAS CRIANCAS, A 49,50","24,75"
"DEU ZEBRA NO ABC 48,00","24,00"
"DIARIO DE BLUMKA 50,00","25,00"
"DIAS E OS LIVROS, OS 41,00","20,50"
"DICK SILVA 49,50","24,75"
"DIREFENTES, OS 49,00","24,50"
"DIREITO DE LER E DE ESCREVER, O 37,00","18,50"
"DOIS MENINOS DE KAKUMA 59,50","29,75"
"DOIS PASSARINHOS 45,00","22,50"
"ELOISA E OS BICHOS 45,00","22,50"
"ESPERANDO A CHUVA 46,00","23,00"
"EU NEM LIGO 56,00","28,00"
"FOI ELE QUE ESCREVEU A VENTANIA 47,50","23,75"
"FRRITT-FLACC 49,50","24,75"
"HARVEY - COMO ME TORNEI INVISIVEL 50,50","25,25"
"INCOMODADOS QUE SE MUDEM, OS 46,00","23,00"
"IRIS - UMA DESPEDIDA 46,00","23,00"
JORNADA DO PEQUENO SENHOR,,
"","45,00","22,50"
"TARTARUGA, A",,
JUCA E CHICO - HISTORIA DE DOIS MENINOS,,
"","47,50","23,75"
EM SETE TRAVESSURAS,,
"LEAO PAPA-DESENHOS, O","48,50","24,25"
"LER E BRINCAR, TECER E CANTAR","37,00","18,50"
LER E SABER,"46,00","23,00"
LETRAS DE CARVAO,"46,00","23,00"
LORDE CREPTUM,"49,50","24,75"
MAMAE TEM MEDO,"48,50","24,25"
MAR E OUTRAS COISAS DE QUE TAMBEM ME,,
"","49,50","24,75"
"LEMBRO, O",,
MARI E AS COISAS DA VIDA,"49,50","24,75"
MUITO ESQUISITO,"52,00","26,00"
"MULHER GIGANTE DA CASA 88, A","51,00","25,50"
NANÃO,"54,00","27,00"
OBRIGADO,"62,00","31,00"
OLHE PARA MIM,"50,50","25,25"
OUVIR NAS ENTRELINHAS,"37,00","18,50"
"PACTO DO BOSQUE, O","49,50","24,75"
PARA ONDE VAMOS,"49,00","24,50"
PARA QUE SERVE UM LIVRO?,"46,00","23,00"
PE-DE-BICHO,"45,00","22,50"
POEMINHAS DA TERRA,"45,00","22,50"
POR UMA LITERATURA SEM ADJETIVOS,"41,00","20,50"
"PRINCESA FLUTUANTE, A","47,00","23,50"
PROFESSORA DA FLOTESTA E A GRANDE,,
"","46,00","23,00"
"SERPENTE, A",,
QUANDO A FAMILIA SAI DE FERIAS,"41,50","20,75"
QUANDO VOCE NAO ESTA AQUI,"47,50","23,75"
QUERO LER MEU LIVRO,"47,50","23,75"
RAINHA DAS RAS NAO PODE MOLHAR OS,,
"","48,50","24,25"
"PES, A",,
ROUPA DE BRINCAR,"51,00","25,50"
SE EU FOSSE UM GRANDE GIGANTE,"50,50","25,25"
"SOL E AS RAS - 20 FABULAS DE ESOPO, O","49,00","24,50"
"SOL SE POE NA TINTURARIA YAMADA, O","48,50","24,25"
"SUBSTÂNCIA OCULTA DOS CONTOS, A","39,00","19,50"
SUPER,"49,00","24,50"
TODOS ZOAM TODOS,"43,50","21,75"
"TRES RATOS DE CHANTILLY, OS","51,00","25,50"
UM DIA UM RIO,"50,50","25,25"
UM ESQUELETO,"49,50","24,75"
UM OUTRO PAIS PARA AZZI,"54,00","27,00"
UMA PERGUNTA TAO DELICADA,"47,00","23,50"
"VIAGEM DOS ELEFANTES, A","45,00","22,50"
