"",IMAGINAÇÃO RADICAL DO,,,,,,
CHAMADA,,Anônimos e outros,Julho de 2019,978-65-80421-02-2,"R$44,00",50%,"R$22,00"
"",PRESENTE,,,,,,
"",,"ORGANIZAÇÃO: Cidadãos, Voltem Pra",,,,,
"",,Casa!AUTORES: anônimos; abigail,,,,,
"",,"Campos Leal, comitê invisível, Denise",,,,,
"",MATERIAS PRELIMINARES ÀS,"Algures, Duarte Ferrín, Giorgio",,,,,
IMPÉRIO E ANONIMATO,,,Julho de 2019,978-65-80421-01-5,"R$38,00",50%,"R$19,00"
"",,Conselho Noturno,,978-65-80421-03-9,"R$36,00",50%,"R$18,00"
QUE A METRÓPOLE,,,2019,,,,
"",POR UMA HISTÓRIA DA,,Dezembro de,,,,
UM PIANO NAS BARRICADAS,,Marcello Tarì,,978-65-80421-04-6,"R$65,00",50%,"R$32,50"
