TÍTULO,AUTOR,PREÇO CAPA,"PREÇO COMDESCONTO"
O porão,Luiza Berthoud,"R$39,00","R$19,50"
Agathe,Anne Cathrine Bomann,"R$42,00","R$21,00"
Debaixo do mesmo céu,André Diniz e Luiza Leite (org.),"R$43,00","R$21,50"
Pudor e dignidade,Dag Solstad,"R$41,00","R$20,50"
"Romance 11, livro 18",Dag Solstad,"R$36,00","R$18,00"
Coleção de ficções 1,Gordon Lish,"R$38,00","R$19,00"
Ingênuo. Super,Erlend Loe,"R$48,00","R$24,00"
Ano da fome,Aki Ollikainen,"R$35,00","R$17,50"
Os discos do crepúsculo,Cadão Volpato,"R$38,00","R$19,00"
Um objeto cortante,Alexandra Maia,"R$38,00","R$19,00"
Poeta não tem idade,Moraes Moreira,"R$42,00","R$21,00"
Pirulito,André Diniz,"R$30,00","R$15,00"
O futuro da música local,Morton Feldman,"R$33,00","R$16,50"
Estudando o som,Chico Dub (org.),"R$70,00","R$35,00"
Aquelas coisas todas,Joyce Moreno,"R$59,00","R$29,50"
Princípio do infinito,"Luiz Antonio Simas e DiogoCunha","R$30,00","R$15,00"
Musicage - palavras,John Cage e Joan Retallack,"R$53,00","R$26,50"
Guia prático de meditação,Khalis Chacel,"R$38,00","R$19,00"
"Vem pro Bola, meu bem!","André Diniz e Diogo Cunha(org.)","R$38,00","R$19,00"
Meu Lote,Nei Lopes,"R$42,00","R$21,00"
"As águas encantadas da Baía deGuanabara","Jorge Luiz Barbosa, DiogoCunha e Anna Thereza deAndrade Barbosa","R$72,00","R$36,00"
"Jards Macalé. Eu só faço o quequero",Fred Coelho,"R$83,00","R$41,50"
"Antissemitismo, uma obsessão.Argumentos e narrativas",liane Pszczol e Heliete Vaitsma,"R$49,00","R$24,50"
"Autoria Crítica: conversas sobre aposição do autor no campoampliado da arquitetura","Daniel Milagres, LauraRosenbusch e ManuelaMüller (Org.)","R$47,00","R$23,50"
"A Análise Psico-Orgânica. As viascorporais de uma psicanálise","Anne Fraisse, Éric Champ,Marc Tocquet","R$87,00","R$43,50"
Mulheres de cinema,Karla Holanda (org.),"R$68,00","R$34,00"
Nos tempos do Trianon - Campos,,,
"",Juliana Carneiro e Victor Melo,"R$100,00","R$50,00"
se diverte,,,
