Título,Autor,"Preçode capa","Preçocomdesconto"
Aéreas - coleção Fotógrafos Viajantes,Cássio Vasconcellos,"R$    70,00","R$ 35,00"
Alma Secreta,Ana Lúcia Mariz,"R$    60,00","R$ 30,00"
Almaquatica,"David Carson, Klaus Mitteldorf, Sidney Tenucci","R$    80,00","R$ 40,00"
Amazônia,Edu Simões,"R$    99,00","R$ 49,50"
"Arquipélago Fernando de Noronha - o paraíso dovulcão - coleção Tempos do Brasil","Wilson Teixeira, Umberto Giuseppe Cordani, Eldemar deAlbuquerque Menor, Margareth Grillo Teixeira, Roberto Linkser(coord.)","R$    75,00","R$ 37,50"
"Atlântico, travessias",Beto Pandiani,"R$ 120,00","R$ 60,00"
Bob Wolfenson - coleção Fotógrafos Viajantes,Bob Wolfenson,"R$    70,00","R$ 35,00"
Brasil Terra Virgem - coleção Brasil Aventura,"Ana Augusta Rocha, Roberto Linsker (coord.)","R$    60,00","R$ 30,00"
Brasil Terra Virgem (inglês) - coleção Brasil Aventura,"Ana Augusta Rocha, Roberto Linsker (coord.)","R$    60,00","R$ 30,00"
Caminhando com Portinari,Alan Nielsen,"R$    50,00","R$ 25,00"
"Chapada Diamantina - águas no sertão - coleçãoTempos do Brasil","Wilson Teixeira,  Roberto Linkser (coord.)","R$    75,00","R$ 37,50"
Cuidados pela vida 5 - coleção Cuidados pela vida,"Texto Marcelo Macca/Fotografia Pedro Martinelli, RobertoLinsker","R$    49,00","R$ 24,50"
Cuidados pela vida 6 - coleção Cuidados pela vida,"Texto Ana Augusta Rocha, Marcelo Macca/Fotografia EduSimões, Roberto Linsker","R$    49,00","R$ 24,50"
Domingo,Roberto Setton,"R$    50,00","R$ 25,00"
Entretrópicos,Beto Pandiani e Marcus Sulzbacher,"R$    70,00","R$ 35,00"
Estes Outros - fotopinturas da coleção Titus Riedl,Fotopinturas coleção Titus Riedl/Texto Eder Chiodetto,"R$    70,00","R$ 35,00"
Guarapuava,Valdir Cruz,"R$ 150,00","R$ 75,00"
Ilusão posterior,Roberto Linsker,"R$    70,00","R$ 35,00"
"Itatiaia - sentinela das alturas - coleção Tempos doBrasil","Wilson Teixeira,  Roberto Linkser (coord.)","R$    75,00","R$ 37,50"
"Mar é uma outra terra, O",Fotografia Roberto Linsker/Texto Helena Tassara,"R$    19,00","R$   9,50"
"Martinelli, Pedro - coleção Fotógrafos Viajantes",Pedro Martinelli,"R$    70,00","R$ 35,00"
Maureen Bisilliat - coleção Fotógrafos Viajantes,Maureen Bisilliat,"R$    70,00","R$ 35,00"
"Na floresta, uma tarde - coleção Fotógrafos Viajantes",Loren McIntyre,"R$    70,00","R$ 35,00"
Origem - retratos de família no Brasil,Fifi Tong,"R$    80,00","R$ 40,00"
"Parque Indígena do Xingu - saúde, cultura e história",Roberto G. Baruzzi e Carmen Junqueira (org.),"R$    50,00","R$ 25,00"
"Parques Nacionais Sul - cânions e cataratas - coleçãoTempos do Brasil","Wilson Teixeira,  Roberto Linkser (coord.)","R$    75,00","R$ 37,50"
"Poder, Glória e Solidão",Orlando Brito,"R$    99,00","R$ 49,50"
Rota Austral,Beto Pandiani e Gui von Schmidt,"R$    70,00","R$ 35,00"
Saga - retratos das colônias alemãs no Brasil,Ricardo Teles,"R$    60,00","R$ 30,00"
São Paulo Blues,Klaus Mitteldorf,"R$    30,00","R$ 15,00"
"Sustentabilidade planetária, onde eu entro nisso?",Fabio Feldmann,"R$    80,00","R$ 40,00"
"Travessia do Drake, A",Beto Pandiani e Duncan Ross,"R$    70,00","R$ 35,00"
"Travessia do Pacífico, A",Beto Pandiani e Igor Bely,"R$    70,00","R$ 35,00"
"Últimos dias do Éden, Os",Jesco von Puttkamer,"R$    70,00","R$ 35,00"
Yuba,Lucille Kanzawa,"R$    60,00","R$ 30,00"
