A diplomacia na construção do Brasil - brochura,Rubens Ricupero,"R$     79,90","R$    39,95"
"A lã das velhas ovelhas já não serve para a neve deamanhã",José Enrique Barreiro,"R$     39,90","R$    19,95"
A liga,Jonathan Clegg e Joshua Robinson,"R$     65,00","R$    30,00"
As t e1i0a  bdoeb aargaennhsa m alaimis ecnotmaru ns que as pessoas,Máximo Ravenna,"R$     42,00","R$    15,00"
inteligentes cometem,Dr. Arthur Freeman,"R$     49,00","R$    24,50"
Baú Mensagem,"Fernando Pessoa, André Luiz, Marcos Paulo, José Roberto","R$   299,60","R$    95,00"
De Z a A / De A a Z,Máximo Ravenna,"R$     40,00","R$    15,00"
Declaração de amor,José Enrique Barreiro,"R$     29,90","R$    10,00"
Entre abrir e fechar a boca,Máximo Ravenna,"R$     38,00","R$    15,00"
Fania Benchimol,"R$     33,00","R$    10,00",
Carlos Etchevarne,"R$   161,00","R$    70,00",
"Christian Cravo, Kadi Cravo, Mario Cravo Neto","R$   240,00","R$    50,00",
"Frei Hugo Fragoso (org.), Maria Helena Ochi Flexor (org.)","R$   199,00","R$    95,00",
Daniel Strum,"R$   240,00","R$  120,00",
José Enrique Barreiro,"R$     29,90","R$    14,95",
Dom Gregório Paixão (org.),"R$   198,00","R$    95,00",
"William J. Walsh, PhD","R$     44,90","R$    22,45",
"Almir Bindilatti, Luciano Andrade.","R$     85,00","R$    35,00",
José Enrique Barreiro,"R$     34,90","R$    10,00",
Roberto Rosa,"R$     75,00","R$    35,00",
Fabiane Pereira,"R$     40,00","R$    10,00",
Waldir Pires (vol. 1),Emiliano José,R$,"49,00",R$,"15,00"
Waldir Pires (vol. 2),Emiliano José,R$,"55,00",R$,"15,00"
